,macrostate,P_up,P_down,term_1,term_2
332,332,0.0137008276,0.0039978359,-3.091706871817867e-17,3.67347130491749e-38
333,333,0.0136905563,0.0038889803,-3.100318945158348e-17,3.8213156510720456e-38
334,334,0.0136600346,0.0039561321,-3.1062340496050144e-17,4.098282449456378e-38
335,335,0.0134293113,0.0039393454,-3.114606943802454e-17,3.9311455323393336e-38
336,336,0.0135400833,0.0039998563,-3.12015363000654e-17,3.875412771975304e-38
337,337,0.0136290286,0.003958751,-3.1286808233004876e-17,3.618591364073578e-38
338,338,0.0134137484,0.003873346,-3.1427420318183455e-17,3.9379571796346325e-38
339,339,0.0134816942,0.003883416,-3.1480871877794625e-17,3.5461528046523616e-38
340,340,0.0133901318,0.0036958289,-3.157587577671058e-17,4.484256573170124e-38
341,341,0.0134697292,0.0039288578,-3.160807448045446e-17,4.131569678962222e-38
342,342,0.0132102368,0.0039411726,-3.1745334581243265e-17,4.6096918218844523e-38
343,343,0.0134741472,0.0039792822,-3.1760508814255116e-17,3.896421803450681e-38
344,344,0.013363781,0.003970486,-3.1882880684985333e-17,4.252155624676149e-38
345,345,0.0132663197,0.0039433093,-3.199274019444649e-17,4.5406035828460047e-38
346,346,0.0132475911,0.0038877269,-3.199871848620528e-17,3.856919615991326e-38
347,347,0.0133204782,0.0039350617,-3.208059064748152e-17,3.8856846897867796e-38
348,348,0.012928164,0.0037448442,-3.226989517939705e-17,4.0515373420921693e-38
349,349,0.0130091702,0.0037471839,-3.227908984606677e-17,4.637762933166219e-38
350,350,0.0132693207,0.0038128892,-3.2353578348348174e-17,4.216056284242735e-38
351,351,0.0131133325,0.0039871723,-3.2397290430428876e-17,4.2946436335253245e-38
352,352,0.0126022075,0.0037294032,-3.257746588566951e-17,6.06784275429938e-38
353,353,0.0129325954,0.0038576123,-3.257915477963316e-17,4.3251273077388984e-38
354,354,0.0129785329,0.0039491667,-3.265758873018179e-17,4.048329602716275e-38
355,355,0.0127545362,0.0038246064,-3.282295786269487e-17,3.89826682209871e-38
356,356,0.0128618112,0.0036542142,-3.283224779219715e-17,4.319187247715528e-38
357,357,0.0125746149,0.0036000521,-3.298404679118934e-17,4.195540447869976e-38
358,358,0.0123713023,0.0036642788,-3.306813930358909e-17,4.996323880766e-38
359,359,0.0126141499,0.0037239709,-3.3136426583858153e-17,4.119720320290529e-38
360,360,0.0124174675,0.0036105927,-3.3248993190441664e-17,4.644349844586025e-38
361,361,0.0125202646,0.0037731875,-3.324860215522054e-17,4.4596026909200817e-38
362,362,0.0125663284,0.0038280947,-3.3343924619485126e-17,4.837611470563971e-38
363,363,0.0123860775,0.0038764675,-3.338988336903754e-17,4.096787982399886e-38
364,364,0.0124474419,0.0037295675,-3.3533810110293544e-17,4.6941071897148386e-38
365,365,0.0124313332,0.003692532,-3.355528597253526e-17,4.5013811004444875e-38
366,366,0.0121933629,0.0036213942,-3.368769725823919e-17,3.9902997267594564e-38
367,367,0.012409985,0.0037755286,-3.371670505695708e-17,3.9438749365184326e-38
368,368,0.0124724169,0.00369461,-3.381434458367246e-17,4.202413144327124e-38
369,369,0.0120471854,0.0035565147,-3.40010681566648e-17,4.360051427969934e-38
370,370,0.012250989,0.0036335487,-3.3986665229013736e-17,5.016775778962014e-38
371,371,0.0121573933,0.0036059281,-3.408952050016805e-17,4.5521920334281954e-38
372,372,0.0121767726,0.0036263818,-3.4156684903148437e-17,4.71395922849051e-38
373,373,0.0122599927,0.0038277603,-3.421300165785429e-17,4.472198375166881e-38
374,374,0.011980221,0.003497876,-3.4379618286910957e-17,4.74976111619524e-38
375,375,0.0120014907,0.0035679501,-3.4423856769576754e-17,4.110853094849942e-38
376,376,0.0118649976,0.0034864744,-3.451778066147969e-17,4.397391427687392e-38
377,377,0.0118292221,0.0034517072,-3.4607935069703964e-17,4.5828947171466677e-38
378,378,0.0117488281,0.0034653271,-3.470007701330898e-17,4.833340010467353e-38
379,379,0.0118333504,0.0034884539,-3.4807535045698495e-17,4.5401356549063214e-38
380,380,0.0118120232,0.003733786,-3.4846955452679654e-17,4.688019401700965e-38
381,381,0.012049116,0.0037020521,-3.4846996603297846e-17,3.580234363938855e-38
382,382,0.011696322,0.0034302364,-3.498274509096412e-17,3.901470033871055e-38
383,383,0.0116874617,0.0034398257,-3.5043979691893256e-17,4.2540967871439387e-38
384,384,0.0116224727,0.0034317686,-3.515648524350397e-17,4.529468705104971e-38
385,385,0.0117621896,0.0036156344,-3.518633059543196e-17,4.5984264550491005e-38
386,386,0.0116202881,0.0035768942,-3.5320268293143213e-17,4.5359212678897946e-38
387,387,0.0116657259,0.0034176663,-3.5382127902658426e-17,5.325033307566477e-38
388,388,0.0110852221,0.0033158735,-3.5583045967272557e-17,5.237291525450385e-38
389,389,0.0113644396,0.0036207421,-3.5514726196192114e-17,4.4499994150895927e-38
390,390,0.0113722371,0.0034467422,-3.566212527094717e-17,4.6298588686548055e-38
391,391,0.0112984064,0.0034276263,-3.5708257202748815e-17,4.708035672742183e-38
392,392,0.0112766785,0.0033929047,-3.580964879860854e-17,4.824593952338849e-38
393,393,0.0111425374,0.0033065397,-3.5971944891787947e-17,4.789349989205787e-38
394,394,0.0113238216,0.0033596802,-3.596923033726091e-17,5.124828156815249e-38
395,395,0.0113198393,0.0034114044,-3.6032670007313594e-17,4.5925953998129506e-38
396,396,0.0109535508,0.0033986925,-3.6230030975063984e-17,6.587412615823301e-38
397,397,0.01104942,0.0034226178,-3.621111928739565e-17,4.46883475647537e-38
398,398,0.0109706149,0.0033176891,-3.628377337868553e-17,5.024336746799985e-38
399,399,0.0109492038,0.0034581739,-3.638513102257683e-17,4.924747650946618e-38
400,400,0.0108464055,0.0033748998,-3.6497872697038764e-17,4.705792812938765e-38
401,401,0.0110931287,0.0034189833,-3.652337987057417e-17,4.677599524185253e-38
402,402,0.0110401536,0.0033597915,-3.6619943849486985e-17,5.381591557118602e-38
403,403,0.0106465363,0.0033338136,-3.6760737479032504e-17,4.333308520468729e-38
404,404,0.0107513971,0.0033060491,-3.680033865682123e-17,4.75513720030237e-38
405,405,0.0107437999,0.0034014929,-3.6865946460565666e-17,4.224005815757608e-38
406,406,0.0107755982,0.0032785858,-3.6945955947105345e-17,4.438497298536579e-38
407,407,0.0104857223,0.0031707905,-3.7060314012512513e-17,5.201672738276072e-38
408,408,0.0105978034,0.0034586521,-3.7148147924359137e-17,4.518150250217565e-38
409,409,0.010822794,0.0032277345,-3.721145639564833e-17,4.768513382511583e-38
410,410,0.0104428657,0.0031232132,-3.73699026029786e-17,4.778872427184053e-38
411,411,0.0104555742,0.0032312363,-3.7431098974333723e-17,4.607401700228405e-38
412,412,0.0105943918,0.0032097659,-3.747019160321285e-17,4.6997393208666263e-38
413,413,0.010491048,0.0033654656,-3.750578999896333e-17,4.905689922895853e-38
414,414,0.0103587737,0.0030853336,-3.762541604513225e-17,4.785619987431752e-38
415,415,0.0102922542,0.0030662344,-3.77186768205346e-17,5.543204753773216e-38
416,416,0.0104013241,0.0032264091,-3.774157629048056e-17,4.5386879387895854e-38
417,417,0.0104580196,0.0032578225,-3.784934104276576e-17,4.336639616873719e-38
418,418,0.0101254043,0.003208487,-3.7962441771423626e-17,4.785494421236468e-38
419,419,0.0099692747,0.0031240049,-3.8108533628393335e-17,4.458635421853191e-38
420,420,0.0099724904,0.0031485308,-3.813310269632291e-17,4.53157531169121e-38
421,421,0.0099892668,0.0031731467,-3.8236246290243983e-17,4.6843678653196945e-38
422,422,0.0101855041,0.0030901935,-3.829287951623128e-17,4.248354114497791e-38
423,423,0.0099537047,0.0031829899,-3.840262738800284e-17,4.920730465778955e-38
424,424,0.0098008558,0.0030702014,-3.8533279404501237e-17,4.2317519606717354e-38
425,425,0.0099630649,0.0032361276,-3.8554608968869854e-17,4.5817822330354837e-38
426,426,0.009875464,0.0030813575,-3.861871350697002e-17,4.674337619098574e-38
427,427,0.00977099,0.0029825309,-3.873865061313167e-17,6.07300251689039e-38
428,428,0.0094739301,0.0028799292,-3.890113298105952e-17,6.015058043745865e-38
429,429,0.0095721449,0.0029046702,-3.895500630777666e-17,5.999325725260755e-38
430,430,0.0095604493,0.0030684719,-3.9038687885875605e-17,6.212183169996935e-38
431,431,0.0096170712,0.0031285089,-3.90907486390211e-17,4.73519347232049e-38
432,432,0.0095925689,0.0031181057,-3.9095533433051434e-17,5.654254494313639e-38
433,433,0.0093538478,0.0030241514,-3.9327152248088965e-17,4.931568116004874e-38
434,434,0.0092663086,0.0029563437,-3.932964759159891e-17,5.841375411964093e-38
435,435,0.0094756247,0.0030471482,-3.938378697397438e-17,5.575401978667153e-38
436,436,0.0094838118,0.0029770684,-3.942837758406698e-17,4.782490578091265e-38
437,437,0.0093748591,0.0029726641,-3.955558682500563e-17,5.520882774949039e-38
438,438,0.0092366747,0.002875778,-3.965283187955714e-17,5.019158101421371e-38
439,439,0.009194196,0.0029524814,-3.9715865089847344e-17,4.824818124718565e-38
440,440,0.0093037625,0.0028477076,-3.9818954707561715e-17,5.102956558413637e-38
441,441,0.0092756812,0.0030204496,-3.988716433918933e-17,5.895900775032132e-38
442,442,0.0090700088,0.0028312491,-3.99891884881452e-17,4.5316028819134873e-38
443,443,0.0089718727,0.0029830489,-4.006852204401222e-17,5.298126980097823e-38
444,444,0.0091420062,0.0029616937,-4.013453575262076e-17,6.008529054772287e-38
445,445,0.0090034242,0.0028160861,-4.026114902052526e-17,5.64116193537546e-38
446,446,0.0092091195,0.0029157626,-4.0274214928222266e-17,5.015444778383354e-38
447,447,0.0090317436,0.0029535517,-4.034691703138692e-17,5.02652194732828e-38
448,448,0.0090006324,0.002940196,-4.0403030364522083e-17,4.864691633588816e-38
449,449,0.0087750108,0.0028201318,-4.058294332746012e-17,5.201500708499588e-38
450,450,0.0089226898,0.0029678547,-4.060286710024994e-17,5.304570240036414e-38
451,451,0.0087647665,0.0028558147,-4.075749951140395e-17,5.403872218524134e-38
452,452,0.0086571014,0.0028537212,-4.0797315921632415e-17,5.639721838494116e-38
453,453,0.0086484751,0.0027014725,-4.0939028710871693e-17,4.320190443256025e-38
454,454,0.0086655353,0.0027775458,-4.098811319190443e-17,6.214224110303679e-38
455,455,0.0086013389,0.0027181679,-4.106683598909241e-17,6.346660008427942e-38
456,456,0.0086275132,0.0028793635,-4.1078289807330597e-17,5.145060737997302e-38
457,457,0.008690344,0.0029164967,-4.111440349001774e-17,5.022563898974284e-38
458,458,0.008409594,0.0026695993,-4.133236993915095e-17,5.605338764902921e-38
459,459,0.0085113931,0.0028424286,-4.138268662210625e-17,5.178181227850739e-38
460,460,0.008354425,0.0027343047,-4.1424177726915016e-17,4.604020033045311e-38
461,461,0.0084076666,0.0026713281,-4.158622908563301e-17,5.057008332469368e-38
462,462,0.0084574473,0.0027394875,-4.164252132372734e-17,4.799191748091031e-38
463,463,0.00832746,0.0029583127,-4.161799647767081e-17,4.77076316471573e-38
464,464,0.0083101515,0.0026579937,-4.1807129158407466e-17,6.308952667332763e-38
465,465,0.0081232585,0.0026963338,-4.1870300007456355e-17,5.523028143636909e-38
466,466,0.0083069372,0.002720518,-4.196764459058301e-17,5.839331281479603e-38
467,467,0.0080315515,0.0026966147,-4.2124645549646715e-17,5.944591438205086e-38
468,468,0.0078764512,0.0026676531,-4.216917350838856e-17,5.765949437655013e-38
469,469,0.0079867823,0.0025839152,-4.225870304522448e-17,5.271910362769925e-38
470,470,0.0076797704,0.0025519956,-4.2441658691617196e-17,5.617432807015854e-38
471,471,0.0079722108,0.0025610881,-4.2403553695297134e-17,6.47976957955732e-38
472,472,0.0077413136,0.0026546176,-4.251746116805582e-17,5.737501672570103e-38
473,473,0.0077426996,0.0026865726,-4.2589932577766345e-17,5.957600068585221e-38
474,474,0.0076339104,0.0025777607,-4.269476652800401e-17,5.356724871309497e-38
475,475,0.0075447475,0.0026761137,-4.272122272418695e-17,5.713566587889743e-38
476,476,0.0075974164,0.0024608089,-4.289253279926684e-17,4.5715703563301955e-38
477,477,0.0075327237,0.0024713502,-4.2981374521604034e-17,5.26833074444014e-38
478,478,0.0076509418,0.002530914,-4.2957614915074776e-17,5.837107366249556e-38
479,479,0.0074846119,0.0025686703,-4.308724155657397e-17,4.990401544277341e-38
480,480,0.0074856091,0.002595783,-4.319023708308491e-17,5.279802714345436e-38
481,481,0.0072808013,0.0024275244,-4.3265987966144004e-17,5.675534937031308e-38
482,482,0.0073152024,0.0024437536,-4.3347813882104876e-17,5.720617654434438e-38
483,483,0.0071559318,0.002385771,-4.3462213364232797e-17,4.985873197178061e-38
484,484,0.0072925145,0.0025554746,-4.3464043411310965e-17,4.6395909308275006e-38
485,485,0.0071351721,0.0023768425,-4.366971077057457e-17,4.947950656939776e-38
486,486,0.0071172168,0.0025359866,-4.374037732507557e-17,5.446439176070357e-38
487,487,0.0071525702,0.0024528135,-4.3818905627258764e-17,4.910745192223839e-38
488,488,0.0071312692,0.0024347526,-4.3884254351002416e-17,4.937505204837595e-38
489,489,0.007030744,0.0024330574,-4.389372523600064e-17,5.4995058080665e-38
490,490,0.0070618395,0.0025127718,-4.398286918513116e-17,5.965609659372528e-38
491,491,0.0068124256,0.0023611433,-4.410481358786863e-17,5.02515224578374e-38
492,492,0.0068848654,0.0023781857,-4.4261288847625555e-17,5.980959998795323e-38
493,493,0.0066892338,0.0023869764,-4.428302522050921e-17,5.641331681678621e-38
494,494,0.006764853,0.0023479538,-4.4312760296883884e-17,5.402938643278545e-38
495,495,0.0067248892,0.0023061212,-4.451905978600835e-17,6.667872665744802e-38
496,496,0.0066438118,0.0022979503,-4.456238066087887e-17,6.43280109762297e-38
497,497,0.0065596905,0.0023071237,-4.465028471186838e-17,5.620883999078294e-38
498,498,0.0063964636,0.0023238934,-4.4780051602273683e-17,5.732153242811054e-38
499,499,0.0065136529,0.0024034967,-4.482706260738196e-17,6.099219922551308e-38
500,500,0.0062514725,0.002329905,-4.494564631884339e-17,5.761761898282031e-38
501,501,0.0064445816,0.0022769129,-4.494129480552061e-17,5.713321524496825e-38
502,502,0.006227948,0.0023179635,-4.505971734273421e-17,5.906208843333385e-38
503,503,0.0061986091,0.0022060807,-4.509599743815117e-17,5.733090253872157e-38
504,504,0.0062507234,0.0023620083,-4.5191872246318316e-17,4.620833882665677e-38
505,505,0.0062644504,0.0022573599,-4.530952411353635e-17,5.805800143711261e-38
506,506,0.0060917794,0.0021072643,-4.552446800091908e-17,5.993062120919731e-38
507,507,0.0059790977,0.0022467956,-4.554648234586467e-17,5.129601595548948e-38
508,508,0.0061896501,0.0021646218,-4.562750785052514e-17,5.843020737353117e-38
509,509,0.006067015,0.0021716985,-4.5799416828252645e-17,6.840425514991389e-38
510,510,0.005813847,0.002218791,-4.571926054024271e-17,6.092266486140139e-38
511,511,0.0058744875,0.002193311,-4.5842122520218206e-17,4.818430213195558e-38
512,512,0.0056507715,0.0021046978,-4.596984231448274e-17,5.096346550902703e-38
513,513,0.0055857212,0.0021586136,-4.601003239318647e-17,6.335392965935898e-38
514,514,0.0057178317,0.0020418745,-4.6108353919714247e-17,5.401640314627018e-38
515,515,0.0056701736,0.002139847,-4.6215396338531566e-17,6.518731512233628e-38
516,516,0.0057741682,0.0020773008,-4.640164343639285e-17,5.590070363328802e-38
517,517,0.0054272347,0.0021357005,-4.631185172979417e-17,5.586510992735486e-38
518,518,0.0055565452,0.0020923259,-4.648616883534644e-17,7.48169147621987e-38
519,519,0.0052470639,0.0020556213,-4.653813793817771e-17,5.706125280591681e-38
520,520,0.0053265154,0.002014221,-4.6676496088017536e-17,6.252731960218087e-38
521,521,0.0053332169,0.0020055711,-4.680470760201113e-17,4.888823050036908e-38
522,522,0.00514414,0.0019755611,-4.6893228704017e-17,5.313062349954721e-38
523,523,0.0051684924,0.0019581706,-4.6922569368016627e-17,5.31404029634458e-38
524,524,0.0050144393,0.0020393952,-4.694030896744573e-17,5.585374199790775e-38
525,525,0.0050160289,0.0019482162,-4.711892334902212e-17,5.569648390347295e-38
526,526,0.0050291258,0.0019454686,-4.716332570761477e-17,5.44832441035927e-38
527,527,0.0049566627,0.0019284544,-4.72448760005718e-17,6.71841317929147e-38
528,528,0.0047754157,0.0018991062,-4.7338495398862916e-17,5.455792558544129e-38
529,529,0.0045901505,0.0019034213,-4.7419132986887796e-17,5.507009598188849e-38
530,530,0.0049002919,0.0018785369,-4.753066020473897e-17,6.335663445756038e-38
531,531,0.0047950598,0.0018532315,-4.7628086101332996e-17,5.396507988970716e-38
532,532,0.0045285237,0.0018091302,-4.7737894583675234e-17,6.016253124463113e-38
533,533,0.0046146587,0.0018767319,-4.779174081252826e-17,5.371519945052616e-38
534,534,0.0045729089,0.0017827226,-4.7899671861202653e-17,5.358492105456916e-38
535,535,0.0045753512,0.0018260922,-4.795311470889854e-17,5.658576622947402e-38
536,536,0.0043679646,0.0017477967,-4.813767346763117e-17,5.887676408262381e-38
537,537,0.0043826186,0.001826067,-4.810934666253428e-17,5.782051923617997e-38
538,538,0.0041530015,0.0017150443,-4.8238109118474165e-17,5.392614746736386e-38
539,539,0.0044158392,0.0017622952,-4.830644366799643e-17,5.44592076669561e-38
540,540,0.0043370037,0.0017975314,-4.840297961737084e-17,7.973258287846602e-38
541,541,0.004208323,0.0016822472,-4.859831146570967e-17,6.201687247099432e-38
542,542,0.0041659567,0.001766604,-4.858065241186755e-17,5.43955229042281e-38
543,543,0.0038551607,0.0017315186,-4.872853430434868e-17,5.722694927714504e-38
544,544,0.0038910747,0.0017369941,-4.8791359128700094e-17,5.902874244469096e-38
545,545,0.0039071473,0.0017087306,-4.883526357349592e-17,6.108720701062483e-38
546,546,0.0039892603,0.0017459038,-4.90136358172668e-17,5.277263228309157e-38
547,547,0.0038168266,0.0016982948,-4.9094804497642286e-17,6.15114407669635e-38
548,548,0.0039659699,0.0017837211,-4.9131819659223634e-17,6.756546286348251e-38
549,549,0.0035841199,0.0014764322,-4.940315269687124e-17,5.655955869981983e-38
550,550,0.0037536645,0.0017183927,-4.927451058699445e-17,5.711309094216301e-38
551,551,0.0036166587,0.001677,-4.94836654199931e-17,6.057462895161689e-38
552,552,0.0034827966,0.0015081436,-4.9569700872614676e-17,5.632608911840824e-38
553,553,0.0034781236,0.0015504393,-4.965359733494551e-17,6.468664049405714e-38
554,554,0.0032162379,0.0016139037,-4.9664351077134995e-17,6.079913487150024e-38
555,555,0.0033175933,0.0015986872,-4.9780163005017843e-17,5.815121071996281e-38
556,556,0.003388879,0.0017240664,-4.9890046983340566e-17,6.100119112170008e-38
557,557,0.0031372291,0.0014818475,-4.999090091672875e-17,6.042256154072717e-38
558,558,0.0032925718,0.0015109167,-5.0167099997512914e-17,6.297714993778052e-38
559,559,0.0031638945,0.0015116025,-5.0099586526585736e-17,6.606710211686079e-38
560,560,0.0030074322,0.0015341148,-5.029691334018546e-17,5.775822667168702e-38
561,561,0.0030263063,0.001522466,-5.0382591566647344e-17,6.369665133151171e-38
562,562,0.0030855889,0.0015203854,-5.0518296463652e-17,5.789887298863224e-38
563,563,0.0031716655,0.0015917564,-5.0575943748195774e-17,5.858903360202854e-38
564,564,0.0029110816,0.0015283262,-5.060330668406217e-17,6.436337495611164e-38
565,565,0.0026090015,0.0015028136,-5.070012787385529e-17,5.467348130784775e-38
566,566,0.0028750994,0.0014599734,-5.075328252735074e-17,5.917636216333459e-38
567,567,0.0028561232,0.0015013932,-5.096592635180059e-17,6.749323093311478e-38
568,568,0.0026260293,0.0013706835,-5.099277961996272e-17,5.895518071594986e-38
569,569,0.0025759329,0.0013598723,-5.11357167907736e-17,5.719704924187733e-38
570,570,0.0024734033,0.0013172313,-5.1287657112716553e-17,6.779790944330326e-38
571,571,0.002498588,0.0014474662,-5.1244976968339014e-17,6.905587214005236e-38
572,572,0.0024622841,0.0013772289,-5.143128099444854e-17,6.384063316233901e-38
573,573,0.002393554,0.0013264939,-5.150741152584443e-17,6.985857160855414e-38
574,574,0.0024089712,0.0014440505,-5.147608695034581e-17,7.206625297071293e-38
575,575,0.002355776,0.0013221411,-5.1661360447321647e-17,6.604591273279923e-38
576,576,0.0022479217,0.0013504228,-5.1705805091586095e-17,5.9704848833326e-38
577,577,0.0022980241,0.0013014674,-5.1913078260365914e-17,5.809380828991613e-38
578,578,0.0021444319,0.0012938647,-5.2000691237515986e-17,6.246956582699239e-38
579,579,0.0021520001,0.0013602533,-5.205215408528919e-17,6.469894192091892e-38
580,580,0.0021092806,0.0013425504,-5.211260702936986e-17,7.25330031693277e-38
581,581,0.0021164675,0.0013558336,-5.22219891620163e-17,7.568851899510698e-38
582,582,0.0020646952,0.0013032804,-5.230059798358491e-17,6.872075456098863e-38
583,583,0.0019291569,0.0013069415,-5.242066007910543e-17,5.780462196592961e-38
584,584,0.0019422736,0.001229014,-5.2626140349576083e-17,6.708814971399196e-38
585,585,0.0019172251,0.0013159915,-5.263744995918174e-17,5.948358519513359e-38
586,586,0.0017862432,0.0013017389,-5.2635010998015543e-17,6.414292637756034e-38
587,587,0.0017121246,0.0012134128,-5.2851870751301186e-17,6.104294057646732e-38
588,588,0.0017042644,0.0012206493,-5.2885901022704244e-17,6.729106043158896e-38
589,589,0.0016468052,0.001208492,-5.2958768754488497e-17,6.948832694534034e-38
590,590,0.0015805555,0.0012351085,-5.3097571445753666e-17,6.337886522567593e-38
591,591,0.0016628372,0.0011676502,-5.321159305957465e-17,5.930280584446347e-38
592,592,0.0015966963,0.0012736112,-5.3205945852777863e-17,6.378645519395534e-38
593,593,0.001556685,0.0012030192,-5.3358732312989293e-17,6.537967981856299e-38
594,594,0.001508086,0.0011644008,-5.3434169871576934e-17,5.864986260264626e-38
595,595,0.0015267561,0.0012112395,-5.347793851105971e-17,7.100864339230503e-38
596,596,0.0013908296,0.0011533016,-5.3700294446621334e-17,6.321759180833618e-38
597,597,0.0013872645,0.0011260009,-5.38177786823684e-17,5.165197859878156e-38
598,598,0.0013644707,0.0012049136,-5.377820882821689e-17,6.81583403747814e-38
599,599,0.001359248,0.0011650133,-5.396065970671695e-17,5.922930299899544e-38
600,600,0.0012732511,0.0011019704,-5.405233632249598e-17,5.982933921934587e-38
601,601,0.0012142026,0.0010964727,-5.41677356454656e-17,6.4575042444261e-38
602,602,0.0012114753,0.0011913667,-5.417891027969816e-17,6.774332063275242e-38
603,603,0.0011606013,0.0011720096,-5.431917229711711e-17,6.129883069622319e-38
604,604,0.0012113972,0.0012107488,-5.4338562364150275e-17,6.08800256584007e-38
605,605,0.001182504,0.001200642,-5.442082685150249e-17,6.66578427742416e-38
606,606,0.0011044329,0.0010468472,-5.4661550441429363e-17,7.148767791414011e-38
607,607,0.0010891734,0.00115519,-5.4681952705658875e-17,6.79034674663389e-38
608,608,0.0010786566,0.0011791856,-5.4743429101518936e-17,6.442481379456822e-38
609,609,0.0009660625,0.0011173867,-5.479952968802197e-17,6.262807525871843e-38
610,610,0.0009515076,0.0011876462,-5.487055701811019e-17,6.919471982507486e-38
611,611,0.0009681653,0.0011596655,-5.4965727622543294e-17,6.029895168126103e-38
612,612,0.000857828,0.0010827802,-5.515294637231155e-17,6.57241911493334e-38
613,613,0.0008957498,0.0010911864,-5.5299287410314606e-17,6.998186737189593e-38
614,614,0.0009423288,0.0011428971,-5.5256758562984136e-17,6.39523723847447e-38
615,615,0.0009145938,0.0010942977,-5.5355607782233734e-17,6.606583390822341e-38
616,616,0.0008317198,0.0010667073,-5.545526169878252e-17,6.349446302603731e-38
617,617,0.0008069078,0.0010915713,-5.555234391288743e-17,5.380718191436076e-38
618,618,0.0007777446,0.001047707,-5.568276492246586e-17,6.470454635186226e-38
619,619,0.0008216766,0.0011295829,-5.573769827400104e-17,5.518235666590635e-38
620,620,0.0008565911,0.0012022164,-5.571939717763513e-17,6.244216627540986e-38
621,621,0.0007099003,0.0010696419,-5.598963464034833e-17,6.658071376348944e-38
622,622,0.0007273157,0.0010502371,-5.605898943357952e-17,6.152118107319127e-38
623,623,0.0007396548,0.0011003184,-5.605961954611584e-17,7.074898167396918e-38
624,624,0.0006653478,0.0010592609,-5.623682581017364e-17,7.74982375413895e-38
625,625,0.0005980266,0.0009825715,-5.640057968097136e-17,6.532891682035281e-38
626,626,0.000637261,0.0009752579,-5.651539323580594e-17,6.707737864189878e-38
627,627,0.0006556165,0.0011131675,-5.650372368146216e-17,7.675996465585889e-38
628,628,0.0005340592,0.0009980934,-5.668815291032551e-17,7.675836642227479e-38
629,629,0.0006504914,0.0011328346,-5.657746546789284e-17,6.38378038018413e-38
630,630,0.0005632755,0.0011304975,-5.672617118234032e-17,9.562360539207379e-38
631,631,0.0005980812,0.0011453372,-5.683931783912718e-17,6.041148893219451e-38
632,632,0.0006274315,0.0011050573,-5.695038622963171e-17,7.452703822345345e-38
633,633,0.0005002824,0.0010951135,-5.701957470005662e-17,6.917204522646099e-38
634,634,0.0004956735,0.0010824824,-5.707806834300029e-17,6.6427193220461e-38
635,635,0.0005221222,0.0011121764,-5.7153275169485e-17,8.075100547374841e-38
636,636,0.0004884066,0.0011126864,-5.729369518023698e-17,7.784841337351149e-38
637,637,0.0005268493,0.0011564466,-5.735568766161626e-17,6.345284753382953e-38
638,638,0.0004347992,0.0011249764,-5.748041792749341e-17,8.141199434254245e-38
639,639,0.0005098622,0.0010715375,-5.753075441098868e-17,7.145743176978359e-38
640,640,0.000511965,0.0011527735,-5.764159049791786e-17,7.008479913786695e-38
641,641,0.0004168079,0.0010508155,-5.771519660997783e-17,6.220230950067494e-38
642,642,0.0004085983,0.0010961803,-5.778767730390122e-17,7.021331398875895e-38
643,643,0.0003945411,0.0011196345,-5.792944901543662e-17,6.276940552563296e-38
644,644,0.0003764247,0.0011168146,-5.792776215395492e-17,6.017748898907808e-38
645,645,0.0003520292,0.0010622059,-5.81039190396273e-17,6.341963619984249e-38
646,646,0.0003907021,0.001180511,-5.81033335734006e-17,7.205243427322801e-38
647,647,0.0003598925,0.0010880475,-5.825032801584964e-17,6.813337476231268e-38
648,648,0.0003738604,0.001058883,-5.830632456743272e-17,7.145951763402222e-38
649,649,0.00037826,0.0011457595,-5.841099883593302e-17,7.56712734998874e-38
650,650,0.000309388,0.0011108233,-5.853572726356743e-17,6.891368977932678e-38
651,651,0.0003307839,0.0011515212,-5.860187737480568e-17,7.836351427916278e-38
652,652,0.0003347049,0.0011363541,-5.864849825108009e-17,6.614154074814325e-38
653,653,0.0002835451,0.0010553593,-5.889220893360652e-17,1.0044362786078967e-37
654,654,0.0002988135,0.0011675134,-5.880230999638284e-17,7.024930618586389e-38
655,655,0.0003120159,0.001202357,-5.884924624523539e-17,6.455894219887026e-38
656,656,0.0002704909,0.0011067433,-5.913006620447858e-17,6.195775291252582e-38
657,657,0.000332053,0.0011202054,-5.900299638234748e-17,7.279523939863493e-38
658,658,0.0002774362,0.0011681,-5.9077365938735e-17,6.693791677761224e-38
659,659,0.0002837991,0.0012200048,-5.920144329695664e-17,6.749471925885075e-38
660,660,0.0002923825,0.0012019789,-5.924564720706695e-17,6.677317638263074e-38
661,661,0.0002647298,0.0011323984,-5.945710481008879e-17,7.117938288525265e-38
662,662,0.0002366823,0.0011516209,-5.959064555597127e-17,8.143250926311056e-38
663,663,0.0002522403,0.0011390195,-5.96613755440369e-17,7.02374499514558e-38
664,664,0.0002503792,0.0010616436,-5.958278009093619e-17,6.97177743290685e-38
665,665,0.0002445906,0.001214997,-5.969730769413054e-17,8.745847678449076e-38
666,666,0.0002246102,0.0011984222,-5.989462759341467e-17,6.270743194265059e-38
667,667,0.000240273,0.0011637401,-5.994967448689556e-17,8.021027911818766e-38
668,668,0.0002074913,0.0011067245,-6.02253428265473e-17,7.282156323640377e-38
669,669,0.0002226379,0.0012274897,-5.995300323616619e-17,7.310821194024313e-38
670,670,0.0002391862,0.0012325126,-6.019823023589099e-17,6.463019776255897e-38
